,username,id,displayname,description,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,label,party,district_code
25,RajanTi11323727,1137338870075338752,Rajan Tiwari🚩🇮🇳,"जय हिंद जय भारत
भाजपा 
जय श्री राम",False,2019-06-08T12:41:32+00:00,106,207,221,9169,,bjp,BAR
26,Aatreyatripathi,708959824805961728,Aatreya Tirpathi,"An Advocate,",False,2016-03-13T10:16:08+00:00,327,543,3356,3989,,bjp,LCK
27,dinnu_y,1271138298392526849,विरोधी 🚲,हम लोग,False,2020-06-11T17:53:11+00:00,1727,1202,8836,47807,,sp,BAN
31,ksy4001,3098824668,KARAN  SINGH YADAV 🚲,Philanthropist/Socialist/Farmer/Politician/Father of 3/Samajwadian/Mulayam lover/member Samajwadi Party since formed/,False,2015-03-20T05:20:22+00:00,437,30,1320,1134,,sp,LCK
33,singharvind644,3010229784,Arvind Singh,( प्रखर समाजवादी चिन्तक ),False,2015-02-05T14:19:11+00:00,5726,5993,3994,22585,,sp,VAR
35,shreya26043286,1200657732509958144,shreya yadav,"उत्तर प्रदेश समाजवादी पार्टी
मेहनत करो मंजिल तो मिल ही जाएगी",False,2019-11-30T06:08:19+00:00,436,383,297,4914,,sp,LCK
37,INCBarabanki,1256551119817506816,Barabanki Congress,Official Twitter Acount of Barabanki Congress,False,2020-05-02T11:49:04+00:00,822,78,3120,1831,,inc,BAR
38,SurendraSPagra,911219481510240256,Surendra Chaudhary,"ज़िला उपाध्यक्ष, समाजवादी पार्टी, 
प्रभारी विधानसभा फतेहपुर सीकरी, 
जिलाध्यक्ष अखिल भारतीय युवा जाट महासभा।",False,2017-09-22T13:23:48+00:00,1102,132,728,2093,,sp,AGR
39,Yathansh111,1000011538084884482,Yathansh Kesarwani,यथांश केसरवानी प्रदेश सचिव मुलायम सिंह यूथ ब्रिगेड समाजवादी पार्टी उत्तर प्रदेश।,False,2018-05-25T13:51:44+00:00,173,58,449,705,,sp,ALH
40,SumitTi85205085,4788119893,सुमित तिवारी एडवोकेट BJP,पूर्ववार्ड अध्यक्ष वार्ड 1कानपुर पूर्व महामंत्री दो बार पूर्व उपाध्यक्ष छावनीमंडल पूर्व दो बार  जिलाकार्यसमिति सदस्य महानगर दoव नगर वसभासद पति छावनीपरिषद कानपूर,False,2016-01-20T09:42:41+00:00,387,1421,665,523,,nishad,KND
43,Anup_shukla1,920549675962208257,Anup Shukla,राष्ट्रीय अध्यक्ष                                                    जन अभियान पार्टी                                            प्रतिनिधि उद्योग व्यापार मंडल,False,2017-10-18T07:18:40+00:00,6297,14,3715,2525,,sp,KNN
45,BLYadav98,1091242198480420865,बी.एल.यादव लाला भैय्या,समाजवादी विचारधारा,False,2019-02-01T07:49:49+00:00,285,194,250,1196,,sp,BAR
46,iSinghNilesh,738401449302855682,निलेश सिंह 'राठौर',|| Nationalist || राष्ट्रहित सर्वोपरि || तन मन से हिन्दू 🚩 || विश्वसनीय || Keen Learner || Traveller || पूर्व कार्यकर्ता @ABVPVoice || कार्यकर्ता @bjp4up ||,False,2016-06-02T16:06:39+00:00,241,419,1147,16744,,bjp,BAL
49,Abhishe33055693,1192702496726114304,Abhishek Gupta 💯%Follow back,friends Follow karo 💯%Follow milega.rss and bjp sport Jay shri ram har har modi,False,2019-11-08T07:16:57+00:00,1251,1165,5601,84329,,bjp,AYD
53,sandesh20222,1299154050865217537,Sandesh yadav SP,"#official #account    Deputy speaker samajwadiparty student wing  maharajganj  #socialist.. #activist..#secular
#team #ARajesh_sp 100%FB
📞8957640268",False,2020-08-28T01:19:14+00:00,1997,2264,1322,124221,,sp,LCK
54,manojdhama4,785041359291887617,Manoj Dhama,"BJP leader 
ex-chairmen loni nagarpalika ( ghaziabad )",False,2016-10-09T08:57:00+00:00,1922,95,85,104,,bjp,GZB
55,KunwarMathura,893151206658408449,Kunwar Narendra Singh,"National Patron - Akhil Bhartiya Kshatriya Mahasabha | Mahagathbandhan Loksabha Candidate-Mathura(2019) | Vice President-RLD,UP",False,2017-08-03T16:46:56+00:00,1511,136,1321,294,,rld,MAT
56,nareshamgaony,889853877826318340,Naresh Yadav Amgaon,जिला सचिव समाजवादी छात्र सभा हमीरपुर,False,2017-07-25T14:24:31+00:00,263,965,1878,14254,,sp,HAM
57,Radha_Krishan_,792627670672629760,RadhaKrishna swarnkar,"BJP SAMARTHAK 💪 
DESH BHAKAT 🇮🇳
BHARAT MATA KI JAI 🙏१00%फॉलो बैक",False,2016-10-30T07:22:17+00:00,6958,6398,65061,137826,,bjp,AYD
60,Rajneeshmartand,2288501990,Martand,An Indian Following AICC || MLA Candidate 2022 || National Secretary VVSD|| Views are Personal π endorsement ||Account Managed By Team ||,False,2014-01-12T18:15:19+00:00,866,589,1766,652,,sp,JNP
61,DrVijayYadavbjp,1251491222696255488,Dr Vijay yadav,"chairman Krishna sudama group of institutions Varanasi and ghazipur up
प्रदेश कोषाध्यक्ष एवं पूर्व प्रदेश मंत्री भाजपा किसान मोर्चा उ. प्र.",False,2020-04-18T12:42:41+00:00,691,1030,535,282,,bjp,VAR
65,INCFatehpur_,1149643817638739969,Fatehpur Congress,"The Official Twitter Handel of Indian National Congress - Fatehpur , UttarPradesh , India. @INCIndia @INCUttarpradesh @INCUPEast #Congress",False,2019-07-12T11:37:00+00:00,854,140,7716,10576,,inc,FTH
71,Satyendrapatel_,1054235452834627584,Satyendra Dev Patel,"Politician 
Secretary Kisan Congress Uttar Pradesh",False,2018-10-22T04:58:13+00:00,766,3958,1191,3031,,inc,KAN
72,20Raghvesh,107459088,Raghvesh Narain Tripathi,स्वयं सेवक @RSSorg @BJP4UP,False,2010-01-22T16:40:35+00:00,1463,4024,10149,5415,,bjp,LCK
75,yashmadan6,2297930213,Yash Madaan,"जिला संयोजक 
भाजपा सोशल मीडिया विभाग 
जनपद संभल
स्वयंसेवक (राष्ट्रीय स्वयंसेवक संघ RSS ) 
जिला उपाध्यक्ष~हिन्दू युवा वाहिनी, जनपद सम्भल उत्तरप्रदेश",False,2014-01-22T19:49:07+00:00,238,888,1152,987,,bjp,CHD
76,PraveenLakhera9,989544166592921600,Praveen lakhera,पूर्व विभाग संगठन मंत्री बाँदा विभाग व निवर्तमान प्रदेश मंत्री कानपुर प्रान्त अखिल भारतीय विद्यार्थी परिषद,False,2018-04-26T16:38:08+00:00,1833,1334,2423,24987,,bjp,JHA
80,RanjeetYadavSP1,771972634770833408,Ranjeet yadav,"without a struggle there can be not no progress.
।। social . activist . write।।

tweets.are.personal socialist ।।

#मिशन_2022 विधानसभा चुनाव 🇧🇾🆙",False,2016-09-03T07:26:33+00:00,17557,4005,14795,68398,,sp,KAN
81,VikeshC72119764,1206949060424413186,Vikesh Chauhan Bjp Agra uttar Pradesh,"पूर्व मंडल उपाध्यक्ष युवा मोर्चा भारतीय जनता पार्टी फतेहाबाद देहात आगरा उत्तर प्रदेश
सेक्टर प्रभारी भारतीय जनता पार्टी सांकुरी खुर्द फतेहाबाद आगरा उत्तर प्रदेश",False,2019-12-17T14:48:11+00:00,354,2129,7478,10135,,bjp,AGR
82,prince_bagi,761426022973730816,Prince Singh Bagi,"Leader, Samajwadi party",False,2016-08-05T04:58:05+00:00,1006,797,1926,4801,,sp,ALH
83,AAPLucknow,1142082344,AAP Lucknow,"Official Account of #AamAadmiParty, #Lucknow.",False,2013-02-02T10:14:33+00:00,6111,113,9630,328,,aap,LCK
85,ArifKha16636211,945322208586473474,Firoz khan,पूर्व ज़िलाध्यक्ष समाजवादी पार्टी जनपद सम्भल,False,2017-12-25T15:55:52+00:00,2869,4832,332,7392,,sp,SAM
86,AjayanandySocia,1284871621128458240,Ajay anand Yadav,"प्रगतिशील समाजवादी पार्टी 
जिला उपाध्यक्ष (छात्र सभा )
आजमगढ़",False,2020-07-19T15:24:26+00:00,106,98,647,312,,sp,AZA
87,Raj55373748,1135029905018761218,राज मिश्रा,म० उपाध्यक्ष भाजपा युवा मोर्चा फतेहपुर,False,2019-06-02T03:46:31+00:00,85,251,657,10547,,bjp,FTH
88,Anilkherabjp,951459613223870465,Anil khera,"क्षेत्रीय संयोजक,प्रशिक्षण विभाग भाजपा प०उत्तर प्रदेश,पूर्व क्षेत्रीय मंत्री भाजपा ,प०उत्तर प्रदेश।
संयोजक,भारत तिब्बत समन्वय संघ,(उत्तरप्रदेश व उत्तराखड)",False,2018-01-11T14:23:43+00:00,515,168,218,970,,bjp,GZB
89,EtawahSwati,1253746522937843713,Swati Yadav,"accounts manager in international ngo 
former member of women power line 1090
Grand daughter of Late sahdev singh yadav Ex MLA.",False,2020-04-24T18:04:13+00:00,2432,10,3761,5867,,sp,LCK
90,Aksingh231313,1167443341232861184,Abhishek Thakur,"राष्ट्रहित सर्वोपरि 🙏
अध्यक्ष - युवा संघर्ष समिति",False,2019-08-30T14:26:25+00:00,247,272,1607,23454,,bjp,MIR
93,MoHASHIMKHAN7,1193113994648645633,MO HASHIM (उर्फ मुन्ना भईया) BJP नेता,मोहम्मद हाशिम उर्फ मुन्ना भईया BJP नेता विधानसभा शाहगंज जिला जौनपुर उत्तर प्रदेश 223101,False,2019-11-09T10:32:13+00:00,494,2040,4978,0,,bjp,JNP
94,Singh01Suresh,1262677987176009728,सुरेश सिंह01,"समाजवादी विचारधारा,किसान मजदूर कार्यकर्ता",False,2020-05-19T09:35:37+00:00,212,207,3488,222,,sp,KND
97,vijayptpsingh,3017620610,Vijay Pratap Singh,"General Secretary BJP Awadh Zone U.P.   
             District Incharge BJP Ambedkar Nagar",False,2015-02-12T17:12:28+00:00,1453,347,1155,2712,,inc,LCK
98,ZebaRizwan4,1252861037549740037,Zeba Rizwan,"राष्ट्रीय सचिव समाजवादी महिला सभा, 291 Vidhan Sabha Tulsipur, Uttar Pradesh. Masters in Mass Communication",False,2020-04-22T07:26:06+00:00,3619,165,216,244,,sp,BRP
101,aryanmishra888,997494015971835905,Aryan Mishra INC,प्रदेश महासचिव NSUI UP Central || छात्र-नेता लखनऊ विश्वविद्यालय Student Leader || डर कर नही लड़ कर जियों || Sports Enthusiast,False,2018-05-18T15:08:00+00:00,2407,1187,21174,169038,,inc,LCK
104,yadavyogi1,809736054618071040,yogesh yadav yogi,State Secretary Samajwadi Party Lohia Vahini UP,False,2016-12-16T12:24:54+00:00,3514,1281,17689,23211,,sp,MAH
105,AjaysamratAU,1060198337612107776,Ajay Singh Yadav SAMRAT,"छात्र नेता ( समाजवादी छात्रसभा) इलाहाबाद विश्वविद्यालय,",False,2018-11-07T15:52:35+00:00,1536,317,1249,4039,,sp,ALH
107,SujeetR41119840,1393976823596261386,Sujeet Rai,"समाजवादी सेवक
जय समाजवाद",False,2021-05-16T17:09:27+00:00,689,2017,5992,6340,,sp,VAR
110,AteetAgarwal22,1419991818150764545,Ateet Agarwal,अतीत अग्रवाल प्रदेश उपाध्यक्ष  समाजवादी पार्टी व्यापार सभा,False,2021-07-27T12:03:46+00:00,336,1770,57,125,,sp,ALG
111,DevendraSBJP,1254265530627821569,देवेन्द्र सिंह समर्थक,भाजपा प्रदेश कार्यसमिति सदस्य उत्तर प्रदेश एवं पूर्व विधानसभा प्रत्याशी सगडी ।।,False,2020-04-26T04:26:58+00:00,217,722,8,17,,bjp,AZA
113,pravanjain,715465605713821697,Pranav Jain ( bhura ),"जनसेवक,भाजपा कार्यकर्ता ,
सिंधिया समर्थक 

facebook.com/pranav.jain.92…",False,2016-03-31T09:07:47+00:00,2273,489,19216,22850,,bjp,UNN
115,pal_jagdambika,400662738,Jagdambika Pal,"Member of Parliament, Domariyaganj, Lok Sabha, BJP, Chairman- Urban Development Committee, Member -Public Accounts Committee",True,2011-10-29T11:35:45+00:00,18187,417,9713,4406,,bjp,BAS
117,SatyaParty,1198925033520816128,सत्य शिखर पार्टी (पंजीकृत राजनीतिक दल),राधेश्याम श्रीवास्तव संस्थापक राष्ट्रीय अध्यक्ष सत्य शिखर पार्टी (पंजीकृत राजनीतिक दल),False,2019-11-25T11:23:08+00:00,4341,4944,45102,22621,,bjp,AYD
118,SurajCh90504345,1002156404520579072,Suraj Chaudhary,"सचिव जिला कांग्रेस कमेटी, सीतापुर",False,2018-05-31T11:54:40+00:00,88,397,213,498,,inc,SIT
119,HardipakN,1159446890309492737,Hardipak nishad,"प्रदेश सचिव उत्तर प्रदेश कांग्रेस कमेटी पूर्व प्रदेश उपाध्यक्ष पिछड़ा वर्ग
पूर्व प्रत्याशी कांग्रेस पार्टी 228 हमीरपुर विधान सभा,
पूर्व जिला पंचायत सदस्य ।",False,2019-08-08T12:50:54+00:00,174,233,1297,2222,,inc,HAM
120,rgvyaparmandal,773535816249405440,राजेन्द्र गुप्ता,"समाज सेवक , प्रदेश महामंत्री उत्तर प्रदेश उद्योग व्यापार मंडल एवं
महानगर अध्यक्ष बरेली महानगर ।।",False,2016-09-07T14:58:04+00:00,900,50,179,102,,sp,BRL
121,RavindraNayakR,4508662512,Ravi Nayak,"कवि, लेखक एवं वक्ता,
जिला संयोजक झांसी भाजपा - सांस्क्रतिक प्रकोष्ठ, 
पूर्व जिला अध्यक्ष झाँसी- अखिल भारतीय ब्राह्मण महासभा (रा),
डायरेक्टर -क्रय विक्रय चिरगाँव",False,2015-12-09T15:49:46+00:00,871,803,265,4070,,bjp,JHA
123,prakashpandey89,702767712,Er PRAKASH PANDEY,"राष्ट्रीय अध्यक्ष - तेजस्वी संगठन, 
संस्थापक व प्रधान संपादक - तेजस्वी न्यूज़ / तेजस्वी पत्रिका",False,2012-07-18T10:00:28+00:00,225,118,2316,4897,,bjp,SON
125,HajiFazlurMP,1182345900221333504,Haji Fazlur Rehman,This is the Official account of the Member of Parliament| 17th Lok Sabha| Saharanpur | Uttar Pradesh,True,2019-10-10T17:23:34+00:00,5746,34,563,1951,,bsp,SAH
130,UshaKori_INC,1503151544,ऊषा रानी कोरी,"#Mission_2022,  #INC_Candidate for #Assembly_209_Bilhaur (SC)",False,2013-06-11T13:19:43+00:00,5783,1471,30837,49543,,inc,SAH
133,ThakurJakeySP,1263300664790302721,Jakey Thakur Aligarh,"जय कुमार सिंह उर्फ (जैकी ठाकुर )प्रदेश सचिव युवजन सभा,पूर्व जिलाध्यक्ष युवजन सभा समाजवादी पार्टी,अलीगढ़, उत्तर प्रदेश",False,2020-05-21T02:49:34+00:00,1261,1662,1728,9562,,sp,ALG
134,Mb1qevVyv3jXyBs,1122411117010010112,kunwar bablu bind kewat Congress sevadal varanasi,जन जन की सेवा का संकल्प राजनीति दलितों पिछड़ों गरीबों मजदूर वर्ग की आवाज बुलन्द हो।सेवादल कांग्रेस कार्यकर्ता। सोशल वर्कर।समाजहित जनहित धर्म हित।देशहीत सर्वोपरि,False,2019-04-28T08:03:58+00:00,2946,4992,96963,148431,,inc,VAR
138,Shobhitshukla0,743119423398150144,shobhit shukla,"कमजोर परिस्थितियों के गर्भ से ही प्रतिभा का जन्म होता है।
मंडल अध्यक्ष भाजयुमो विधानसभा = 161 संडीला-हरदोई,उत्तर प्रदेश",False,2016-06-15T16:34:12+00:00,551,794,207,4067,,bjp,LCK
140,DrDharm29971945,908176466688466944,DrDharmendra Singh,"Associate Professor,
Ex. State President 
ABVP East U.P.
Member-NEC, National Ag.Advisory Board
, Agrivision. ABVP (UP)",False,2017-09-14T03:51:57+00:00,214,136,82,1038,,bjp,BAL
141,NarvekarBjp,217012318,Vivek Narvekar,"Civil Engineer , President BJP Shahapur - City",False,2010-11-18T10:17:21+00:00,1288,783,11381,1823,,bjp,HAP
144,varanasi_zila,911584503159676929,BJP Varanasi,"भारतीय जनता पार्टी, वाराणसी का आधिकारिक ट्विटर अकाउंट",False,2017-09-23T13:34:16+00:00,5750,64,39886,66692,,bjp,VAR
146,Rajendr84789368,1007994529016762369,R.P.Singh,"member AICC
ex organising prabhari
u p Congress committee",False,2018-06-16T14:33:18+00:00,58,74,36,57,,inc,LCK
148,BJP4Amethi,746194148420517889,BJP Amethi,"Official Twitter Account of Bharatiya Janta Party, Amethi.
@smritiirani",False,2016-06-24T04:12:03+00:00,17804,194,23376,9194,,bjp,AMT
150,spnitinyadav,375359728,Nitin Yadav Kannauj,National Executive Member @samajwadiparty Chhatra Sabha | Political analyst | always with only @yadavakhilesh ji | Views are personal | RT's are not Endorsement,False,2011-09-18T00:25:32+00:00,1035,197,5852,20929,,sp,KAN
151,RKVERMA53797938,1242429358666637312,राजकुमार वर्मा (भाजपा मेरा परिवार),"मैं भाजपा मोदी जी योगी जी का कट्टर समर्थक हूँ। 
जो हिन्दू हित की बात करेगा वही इस देश पर राज्य करेगा।
#mission_2022 हिन्दू हो हिंदुत्व का साथ दो।",False,2020-03-24T12:34:12+00:00,2901,2649,8644,23807,,bjp,MRG
153,Salmanyusufkha4,1230150372116791296,सलमान युसूफ(क्षेत्रीय सोशल मिडिया प्रमुख अ.मोर्चा),क्षेत्रीय सोशल मीडिया प्रमुख पश्चिम उत्तर प्रदेश भारतीय जनता पार्टी अल्पसंख्यक मोर्चा अध्यक्ष राष्ट्रीय जनकल्याणकारी परिषद अल्पसंख्यक प्रभाग उत्तर प्रदेश,False,2020-02-19T15:21:31+00:00,296,2923,1460,1085,,bjp,MOR
155,PawanYa20900727,897058418397110272,Pawan Yadav,I 'Am 📚Student Work At Samajwadi Party Sporter 🇧🇾🚲🚲🇧🇾 jai jai jai jai jai Akhilesh  Jai jai Jai Jai Jai Samajwad🇧🇾🇧🇾🚲🚲🇧🇾🙏🙏🙏🙏🙏,False,2017-08-14T11:32:48+00:00,2115,1184,1825,0,,sp,SHJ
157,AbhayBhartiBst,1283995096027787265,Abhay Bharti,"An ambedkarite, believe constitution, Follow Congress parti",False,2020-07-17T05:21:29+00:00,2953,3111,20803,28097,,inc,BAS
158,nawabhasankhan,2559585090,नवाब हसन अली ख़ाँन,प्रदेश सचिव समाजवादी पार्टी उत्तर प्रदेश (अ०स०),False,2014-06-10T19:18:48+00:00,284,92,1645,10379,,sp,LCK
161,NeetaSingh54,744711880048967680,नीता सिंह,"प्रधान अध्यक्ष - विकास खण्ड राठ, #Hamirpur, #UttarPradesh #BJP",False,2016-06-20T02:02:03+00:00,3441,4912,22230,80042,,bjp,GZB
165,MukhiyaSohan,3307230732,Sohan mukhiya,"🌹जिला मंत्री भाजपा सहारनपुर🌹
पूर्व जिला विस्तारक भाजपा मेरठ पूर्व विभाग संयोजक ABVP सहारनपुर",False,2015-08-05T23:08:24+00:00,4236,4573,762,6143,,bjp,SAH
174,akhileshmanch,1196702434036371456,अखिलेश आ रहे हैं..,"Commentary समता, समानता,उदारवाद समाजवादी विचारधारा (मा. अखिलेश यादव जी एवं मा. मुलायम सिह यादव जी के विचारो का संगम )",False,2019-11-19T08:11:18+00:00,1774,518,8185,13857,,sp,LCK
175,ActuallyNeel,3303337724,मै भी योगी 🔥,"Active & proud worker of BJP/Social Worker , IT Professional/धर्मो रक्षति रक्षितः",False,2015-08-01T12:33:29+00:00,3937,4348,12058,2815,,bjp,JNP
176,BjpVishalPandey,1177412802157268992,Vishal Pandey BJP,जिलाध्यक्ष भाजपा युवा मोर्चा सोनभद्र🇮🇳🚩,False,2019-09-27T02:41:58+00:00,150,213,327,2338,,bjp,SON
179,MukeshPathakji,1058939513714761729,Mukesh Pathak🍯FaBa🍯,"#Beekeeper🐝 #Apiarist #FabaHoney🍯
Proud to be followed by PM Sri @narendramodi Ji.",False,2018-11-04T04:30:28+00:00,8875,645,35624,60616,,bjp,RAM
180,shivamshuklabst,772294244178341888,Shivam Shukla शिवम शुक्ला,"Proud Indian, Student Leader,समालोचक,गाँधीवादी,,
संस्थापक अध्यक्ष- @abwaup (आल बीटीसी वेलफेयर एसोसिएशन उ०प्र०);
Law Student,Belives in-न दैन्यं न पलायनम्",False,2016-09-04T04:44:31+00:00,1258,174,1041,5728,,inc,BAS
181,shashikanthyv,918816302512386053,शशिकान्त कुशवाहा,"अध्यक्ष  
    हिन्दू युवा वाहिनी मऊ 
    8960444741
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳",False,2017-10-13T12:30:52+00:00,772,122,756,539,,bjp,MAU
185,KSJ_Congress,1375149678040285184,Kasganj congress,Official Account District Congress Committee Kasganj,False,2021-03-25T18:17:45+00:00,671,1465,771,1212,,inc,KAS
186,INCchitrakoot_,1417468089868775424,Chitrakoot Congress,Official Twitter Account of Chitrakoot District Congress. UP Congress,False,2021-07-20T12:55:30+00:00,106,119,4235,3753,,inc,CHK
189,MuhdMohsin6,1199332284840607746,Muhd Mohsin,"PRESIDENT-DISTRICT CONGRESS COMMITTEE-BARABANKI (UP)
FORMER ZILA PANCHAYAT MEMBER",False,2019-11-26T14:21:27+00:00,79,123,184,193,,inc,BAR
190,praveenbhatibjp,1254296050514358272,Praveen Bhati,अध्यक्ष व्यापार मंडल (साहिबाबाद) । कार्यसमिति सदस्य भाजपा महानगर । प्रदेश मंत्री युवा उद्योग व्यापार मंडल (उत्तर प्रदेश) । चेयरमैन (AIPF) ।,False,2020-04-26T06:28:08+00:00,552,80,1679,10474,,bjp,AYD
191,pradeepJAt22,1004416163537752066,Pradeep JAt,"@PradeepJAt22

''''State It cell Member of All India JAt Mahasabha Mp @ABJMMPOfficial ''''


instagram -- 

instagram.com/pradeep_jat22/",False,2018-06-06T17:34:09+00:00,2235,1162,5257,19829,,rld,HAP
192,anshuman_7000,3109642052,Anshuman Tiwari.,work at indian youth congress,False,2015-03-27T09:07:53+00:00,1485,1915,2154,5318,,inc,LCK
193,Shivams_singh,1378606963,Shivam singh,Varanasi,False,2013-04-25T03:54:18+00:00,265,1015,14412,16740,,bjp,VAR
197,surajyadavkd,874209033284014081,Mr. Suraj Yadav K D,"जिला सचिव मुलायम सिंह यूथ बिग्रेड समाजवादी पार्टी अमेठी, उत्तर प्रदेश
🇮🇳 जय हिंद जय भारत 🇮🇳
🚩जय श्री कृष्ण🚩samajwadiparty.in",False,2017-06-12T10:17:30+00:00,1160,929,2383,8161,,sp,AMT
198,ramkumar8889,1143014659500331008,Ram Kumar Verma,"पार्षद
(नगर निगम कार्यकारिणी सदस्य भाजपा)
       सचेतक-भाजपा पार्षद दल",False,2019-06-24T04:35:05+00:00,403,487,634,5422,,bjp,LCK
200,iamvitthalss,871415532,VITTHAL SS,"Software Engineer | Coder | Lead | Solution Designer.
PATRIOT | PROUD HINDU | BJP - RSS - NAMO FAN | 
LIKE & RETWEET ≠ ENDORSEMENT |
#JaiShriRam |",False,2012-10-10T09:06:56+00:00,730,859,61162,90164,,bjp,SON
204,rajeshsainisp,816683214940999684,Rajesh Saini,"पूर्व प्रदेश सचिव, पूर्व प्रत्याशी वि0स0 क्षेत्र 84 समाजवादी पार्टी मथुरा, राष्ट्रीय महासचिव भगीरथ सेना उत्तर प्रदेश।",False,2017-01-04T16:30:26+00:00,57,218,375,238,,sp,ALG
206,BJP4Pratapgarh,805082272642777092,BJP IT Pratapgarh,Twitter Account of BJP Pratapgarh. Humble to be followed by @piyushgoyaloffc,False,2016-12-03T16:12:26+00:00,3545,576,4351,1760,,bjp,PGH
208,Syed_TariqAnwar,400668284,Syed' Tariq Anwar (Adv),"अधिवक्ता, जिला उपाध्यक्ष @Samajwadiparty झाँसी, पूर्व जिलाध्यक्ष सपा छात्रसभा झाँसी ।। Official Facebook Page facebook.com/tariq.anwar.jhs",False,2011-10-29T11:48:23+00:00,3030,1231,2248,4004,,sp,JHA
210,ajaz_abidi,491204040,Ajaz Abbas Abidi,"Official Twitter Account of Social Activist, | Ex State Vice Prisedent - BJP (Samvad)",False,2012-02-13T11:16:46+00:00,1095,373,8921,791,,bjp,AMR
212,ajeetsingurjar,1247819679642480641,Ajeet Singh sarpanch nivas uchain DIST Bharatpur,"Ajeet Singh Gurjar Sarpanch nivas unchain Dist Bharatpur Rajsthan
अजीत सिंह गुर्जर जिला अध्यक्ष भरतपुर पायलट ब्रिगेड राजस्थान",False,2020-04-08T09:33:07+00:00,2820,4961,3294,12021,,inc,BRP
213,sphimansh,701583636148023296,Himanshu Bajpai,"पूर्व प्रदेश सचिव समाजवादी लोहिया वाहिनी , पूर्व सदस्य जिला योजना समिति शाहजहांपुर",False,2016-02-22T01:45:48+00:00,2851,661,7935,9130,,sp,LCK
214,BjpBulbulsingh,997428184059539457,Avinash Singh Bulbul,"अविनाश सिंह  (बुलबुल)
पूर्व क्षेत्रीय प्रभारी पंचायत प्रकोष्ठ गोरक्षप्रान्त
पौत्र - स्वर्गीय चन्द्रशेखर सिंह 
भाजपा संस्थापक सदस्य 
पूर्व मंत्री एंव विधायक",False,2018-05-18T10:46:25+00:00,4804,5035,114607,133596,,bjp,LCK
215,asheeshhardoi,813466324751958016,Asheesh Tripathi,Socialist || Youth Leader Of Samajwadi Party || Akhilesian By Heart ~ Politician By Choice 🚴,False,2016-12-26T19:27:40+00:00,2406,1666,3996,25413,,sp,LCK
217,RamKuma94497355,973935645902163971,Ram Kumar Yadav,"@akleshian=samajwadi 🙏लोहियावादी🙏
                  
     🚲🚲।।पूर्व महासचिव मध्यप्रदेश समाजवादी पार्टी।।🚲🚲",False,2018-03-14T14:55:27+00:00,2188,3551,17995,36171,,sp,JHA
